,Symbol
0,MMM
1,AOS
2,ABT
3,ABBV
4,ACN
5,ADBE
6,AMD
7,AES
8,AFL
9,A
10,APD
11,ABNB
12,AKAM
13,ALB
14,ARE
15,ALGN
16,ALLE
17,LNT
18,ALL
19,GOOGL
20,GOOG
21,MO
22,AMZN
23,AMCR
24,AEE
25,AEP
26,AXP
27,AIG
28,AMT
29,AWK
30,AMP
31,AME
32,AMGN
33,APH
34,ADI
35,ANSS
36,AON
37,APA
38,APO
39,AAPL
40,AMAT
41,APTV
42,ACGL
43,ADM
44,ANET
45,AJG
46,AIZ
47,T
48,ATO
49,ADSK
50,ADP
51,AZO
52,AVB
53,AVY
54,AXON
55,BKR
56,BALL
57,BAC
58,BAX
59,BDX
60,BRK.B
61,BBY
62,TECH
63,BIIB
64,BLK
65,BX
66,BK
67,BA
68,BKNG
69,BWA
70,BSX
71,BMY
72,AVGO
73,BR
74,BRO
75,BF.B
76,BLDR
77,BG
78,BXP
79,CHRW
80,CDNS
81,CZR
82,CPT
83,CPB
84,COF
85,CAH
86,KMX
87,CCL
88,CARR
89,CAT
90,CBOE
91,CBRE
92,CDW
93,CE
94,COR
95,CNC
96,CNP
97,CF
98,CRL
99,SCHW
100,CHTR
101,CVX
102,CMG
103,CB
104,CHD
105,CI
106,CINF
107,CTAS
108,CSCO
109,C
110,CFG
111,CLX
112,CME
113,CMS
114,KO
115,CTSH
116,CL
117,CMCSA
118,CAG
119,COP
120,ED
121,STZ
122,CEG
123,COO
124,CPRT
125,GLW
126,CPAY
127,CTVA
128,CSGP
129,COST
130,CTRA
131,CRWD
132,CCI
133,CSX
134,CMI
135,CVS
136,DHR
137,DRI
138,DVA
139,DAY
140,DECK
141,DE
142,DELL
143,DAL
144,DVN
145,DXCM
146,FANG
147,DLR
148,DFS
149,DG
150,DLTR
151,D
152,DPZ
153,DOV
154,DOW
155,DHI
156,DTE
157,DUK
158,DD
159,EMN
160,ETN
161,EBAY
162,ECL
163,EIX
164,EW
165,EA
166,ELV
167,EMR
168,ENPH
169,ETR
170,EOG
171,EPAM
172,EQT
173,EFX
174,EQIX
175,EQR
176,ERIE
177,ESS
178,EL
179,EG
180,EVRG
181,ES
182,EXC
183,EXPE
184,EXPD
185,EXR
186,XOM
187,FFIV
188,FDS
189,FICO
190,FAST
191,FRT
192,FDX
193,FIS
194,FITB
195,FSLR
196,FE
197,FI
198,FMC
199,F
200,FTNT
201,FTV
202,FOXA
203,FOX
204,BEN
205,FCX
206,GRMN
207,IT
208,GE
209,GEHC
210,GEV
211,GEN
212,GNRC
213,GD
214,GIS
215,GM
216,GPC
217,GILD
218,GPN
219,GL
220,GDDY
221,GS
222,HAL
223,HIG
224,HAS
225,HCA
226,DOC
227,HSIC
228,HSY
229,HES
230,HPE
231,HLT
232,HOLX
233,HD
234,HON
235,HRL
236,HST
237,HWM
238,HPQ
239,HUBB
240,HUM
241,HBAN
242,HII
243,IBM
244,IEX
245,IDXX
246,ITW
247,INCY
248,IR
249,PODD
250,INTC
251,ICE
252,IFF
253,IP
254,IPG
255,INTU
256,ISRG
257,IVZ
258,INVH
259,IQV
260,IRM
261,JBHT
262,JBL
263,JKHY
264,J
265,JNJ
266,JCI
267,JPM
268,JNPR
269,K
270,KVUE
271,KDP
272,KEY
273,KEYS
274,KMB
275,KIM
276,KMI
277,KKR
278,KLAC
279,KHC
280,KR
281,LHX
282,LH
283,LRCX
284,LW
285,LVS
286,LDOS
287,LEN
288,LII
289,LLY
290,LIN
291,LYV
292,LKQ
293,LMT
294,L
295,LOW
296,LULU
297,LYB
298,MTB
299,MPC
300,MKTX
301,MAR
302,MMC
303,MLM
304,MAS
305,MA
306,MTCH
307,MKC
308,MCD
309,MCK
310,MDT
311,MRK
312,META
313,MET
314,MTD
315,MGM
316,MCHP
317,MU
318,MSFT
319,MAA
320,MRNA
321,MHK
322,MOH
323,TAP
324,MDLZ
325,MPWR
326,MNST
327,MCO
328,MS
329,MOS
330,MSI
331,MSCI
332,NDAQ
333,NTAP
334,NFLX
335,NEM
336,NWSA
337,NWS
338,NEE
339,NKE
340,NI
341,NDSN
342,NSC
343,NTRS
344,NOC
345,NCLH
346,NRG
347,NUE
348,NVDA
349,NVR
350,NXPI
351,ORLY
352,OXY
353,ODFL
354,OMC
355,ON
356,OKE
357,ORCL
358,OTIS
359,PCAR
360,PKG
361,PLTR
362,PANW
363,PARA
364,PH
365,PAYX
366,PAYC
367,PYPL
368,PNR
369,PEP
370,PFE
371,PCG
372,PM
373,PSX
374,PNW
375,PNC
376,POOL
377,PPG
378,PPL
379,PFG
380,PG
381,PGR
382,PLD
383,PRU
384,PEG
385,PTC
386,PSA
387,PHM
388,PWR
389,QCOM
390,DGX
391,RL
392,RJF
393,RTX
394,O
395,REG
396,REGN
397,RF
398,RSG
399,RMD
400,RVTY
401,ROK
402,ROL
403,ROP
404,ROST
405,RCL
406,SPGI
407,CRM
408,SBAC
409,SLB
410,STX
411,SRE
412,NOW
413,SHW
414,SPG
415,SWKS
416,SJM
417,SW
418,SNA
419,SOLV
420,SO
421,LUV
422,SWK
423,SBUX
424,STT
425,STLD
426,STE
427,SYK
428,SMCI
429,SYF
430,SNPS
431,SYY
432,TMUS
433,TROW
434,TTWO
435,TPR
436,TRGP
437,TGT
438,TEL
439,TDY
440,TFX
441,TER
442,TSLA
443,TXN
444,TPL
445,TXT
446,TMO
447,TJX
448,TSCO
449,TT
450,TDG
451,TRV
452,TRMB
453,TFC
454,TYL
455,TSN
456,USB
457,UBER
458,UDR
459,ULTA
460,UNP
461,UAL
462,UPS
463,URI
464,UNH
465,UHS
466,VLO
467,VTR
468,VLTO
469,VRSN
470,VRSK
471,VZ
472,VRTX
473,VTRS
474,VICI
475,V
476,VST
477,VMC
478,WRB
479,GWW
480,WAB
481,WBA
482,WMT
483,DIS
484,WBD
485,WM
486,WAT
487,WEC
488,WFC
489,WELL
490,WST
491,WDC
492,WY
493,WMB
494,WTW
495,WDAY
496,WYNN
497,XEL
498,XYL
499,YUM
500,ZBRA
501,ZBH
502,ZTS
